water,Sink Kitchen-Single,5.9,8.8,clean     
pressure,Chair-Corbu,6,4.3,"sleep  , Sit   "
pressure,Chair-Breuer,4.7,0.8,Sit
electricity,Oven Tower Unit,2.7,10.2,cook     
electricity,Counter Top w Sink,5.9,8.6,"cook, clean     "
electricity,Counter Top - Corner ,5,10,"cook, clean     "
pressure,Dining Table w Chairs,4.6,5.6,"eat     , sit, entertainment"
pressure,Chair-Corbu,3.3,3.4,"sleep , sit    "
pressure,Sofa-Corbu,6.1,2.5,"sleep , sit    "
NONE,Table-Dining,4.6,2.5,clean     
electricity,TV - Flat Screen,6.3,2.5,entertainment
accelerometer,Refrigerator-Side-by-Side-with_Ice_and_Water_Dispenser,6,7.1,"cook,clean"
accelerometer,Agent,0,0,exercise
